Restaurant_Id,Name,Country,City,Rating,Cuisines,Rating Category
18649486,The Drunken Botanist,India,Gurgaon,4.4,"Continental, Italian, North Indian, Chinese",Very Good
308322,Hauz Khas Social,India,New Delhi,4.6,"Continental, American, Asian, North Indian, Chinese, Pizza, Biryani, Beverages",Excellent
18856789,AIR- An Ivory Region,India,New Delhi,4.1,"North Indian, Chinese, Continental, Asian",Very Good
307374,AMA Cafe,India,New Delhi,4.4,"Cafe, Juices",Very Good
18238278,Tamasha,India,New Delhi,4.4,"Finger Food, North Indian, Continental, Italian",Very Good
18268712,Chili's Grill & Bar,India,Noida,4.6,"Mexican, American, Italian, Burger",Excellent
18198449,Punjabi Angithi,India,New Delhi,4.7,"North Indian, Chinese, Momos, Rolls, Fast Food",Excellent
18382360,Local,India,New Delhi,4.3,"North Indian, Continental, Momos",Very Good
18273624,Cafeteria & Co.,India,New Delhi,4.5,"Continental, Mexican, Fast Food",Excellent
18466951,Jungle Jamboree,India,Noida,4.5,"North Indian, Continental, Chinese, BBQ",Excellent
306046,SodaBottleOpenerWala,India,Gurgaon,4.2,"Parsi, North Indian, Maharashtrian, Beverages, Bakery",Very Good
18337893,The Luggage Room Kitchen And Bar,India,New Delhi,4.5,"Italian, Chinese, Continental",Excellent
18518483,Echoes Hudson Lane,India,New Delhi,4.6,"Cafe, American, Chinese, Continental, North Indian, Italian",Excellent
18246991,Odeon Social,India,New Delhi,4.4,"Continental, American, Asian, North Indian, Momos, Beverages",Very Good
8913,Pirates of Grill,India,Gurgaon,4.9,"North Indian, Mughlai, Continental",Excellent
313256,The Junkyard Cafe,India,New Delhi,4.5,"North Indian, Mediterranean, Asian, Salad, Momos",Excellent
18562836,Diggin,India,New Delhi,4.2,"Italian, Continental, Beverages",Very Good
17953943,The Burger Club,India,New Delhi,4.2,"Burger, Fast Food, Beverages",Very Good
18258498,Chinese Kitchen,India,New Delhi,4.1,"Fast Food, Chinese, Momos",Very Good
18537536,Chili's Grill & Bar,India,New Delhi,4.6,"Mexican, American, Italian",Excellent
